Report Mai 2026 - alle Benutzer, gruppiert nach Tagen
Repos: ImagingTools/Acf, ImagingTools/AcfSln, ImagingTools/ImtCore, ImagingTools/Agentino

2026-05-01 (1 Commits)
- [ImagingTools/ImtCore] ff12962 | kucherenkord-cyber | Merge pull request #439 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] e768f05 | Copilot | fix: TElementList::FromList explicitly constructs non-null TSharedNullable elements to prevent crash in generated serialization code
- [ImagingTools/ImtCore] e85a2d8 | kucherenkord-cyber | Merge branch 'main' into copilot/implement-ticket-tenant-tests
- [ImagingTools/ImtCore] e90baa1 | kucherenkord-cyber | Merge pull request #499 from ImagingTools/copilot/implement-ticket-tenant-tests

2026-05-20 (41 Commits)
- [ImagingTools/AcfSln] 1947c8e | 0x435641 | CLinearlyScaledNumericParamComp corrected (#47)
- [ImagingTools/AcfSln] 42cab40 | 0x435641 | imeas::CLinearlyScaledNumericParamComp added (#44)
- [ImagingTools/ImtCore] 0302823 | kirill-lepski | SID-based login implemented. Bug fixing and small improvements (#506)
- [ImagingTools/ImtCore] 0c9821d | Copilot | Sync qmake `.depends` in ImtCoreAll.pro with CMake link dependencies (#512)
- [ImagingTools/ImtCore] 1064256 | Copilot | Merge origin/main into copilot/fix-gui-for-tenant-editor - resolve conflict in JQML bundle
- [ImagingTools/ImtCore] 1511450 | Copilot | feat: revamp TenantEditor pages — fix empty state, StackView roles/groups, fixed-header Permissions, General header, role assignment menu
- [ImagingTools/ImtCore] 187909a | Copilot | refactor(TenantEditor): inject GqlBasedTenantMembershipApiClient from TenantCollectionView
- [ImagingTools/ImtCore] 2205998 | Copilot | Move Create button to StackViewHeader level, add GetObjectData for edit, show item name in header
- [ImagingTools/ImtCore] 31c45b6 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 33c6678 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 34311ec | Copilot | Refactor Roles/Groups pages: use ListView via TenantCollectionListView, add editing, add Description column to permissions tree, move env roles above filter
- [ImagingTools/ImtCore] 3dbd3c8 | VekhterAleksandr | Jqml v2 fixed (SplitView removed from list)
- [ImagingTools/ImtCore] 43adc8d | Copilot | Add detailed QML & JQML documentation and tutorials (#507)
- [ImagingTools/ImtCore] 4531135 | VekhterAleksandr | Qml. base controls corrected
- [ImagingTools/ImtCore] 48d0333 | Copilot | fix: add CStandardDocumentMetaInfo.cpp to imtdoc to resolve undefined linker symbols
- [ImagingTools/ImtCore] 4a26a8b | Copilot | Fix BasicTreeView header panel: distinct color from hover, increased height, separator line, and fix delegate reuse issue
- [ImagingTools/ImtCore] 5a51f46 | kucherenkord-cyber | Merge branch 'copilot/fix-gui-for-tenant-editor' of https://github.com/ImagingTools/ImtCore into copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] 5f264b7 | Copilot | fix: link imtbase against idoc for Linux TeamCity builds
- [ImagingTools/ImtCore] 7bf3b20 | Copilot | Move CRemoteFilterableSelectControllerComp to imtclientgql and register in ImtClientGqlPck
- [ImagingTools/ImtCore] 83621bd | Copilot | Fix width calculations in role/group delegates after avatar removal
- [ImagingTools/ImtCore] 86c1fb5 | Copilot | refactor: decompose TenantEditor.qml into SOLID layered QML architecture
- [ImagingTools/ImtCore] 8e66126 | kirill-lepski | Merge fixes (#508)
- [ImagingTools/ImtCore] 8f1e155 | VekhterAleksandr | Qml. MultiDocumentCollectionView corrected (#509)
- [ImagingTools/ImtCore] 9001f76 | Copilot | refactor(TenantEditor): inherit pages from ViewBase, propagate model + use doUpdateGui/doUpdateModel
- [ImagingTools/ImtCore] 93ca494 | Copilot | Use imtcontrols StackView/StackViewHeader on Roles/Groups pages, remove Permissions border, add CRemoteFilterableSelectControllerComp
- [ImagingTools/ImtCore] a603c73 | Copilot | Fix env roles horizontal layout, add page titles with descriptions, static delegate height, fix BasicTreeView column widths
- [ImagingTools/ImtCore] b339a81 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] ca8bb10 | Copilot | feat(TenantCollectionListView): add selection (single/multi) and 3-dot menu button
- [ImagingTools/ImtCore] cd995b4 | kucherenkord-cyber | Merge pull request #501 from ImagingTools/copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] cf274a1 | Copilot | fix: keep TeamCity linker fix minimal
- [ImagingTools/ImtCore] d0c1390 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] d71fee4 | Copilot | Fix BasicTreeView headers stretch, remove env roles from Roles page, restore bold titles, fix duplicate titles, use RoleView/UserGroupView editors with double-click
- [ImagingTools/ImtCore] d8f0bc0 | kucherenkord-cyber | CRemoteFilterableSelectControllerComp corrected
- [ImagingTools/ImtCore] d9ac87d | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] e3eb50c | Copilot | Refactor TenantMembersPage: use TenantCollectionListView + UserView, add user CRUD to API client
- [ImagingTools/ImtCore] e468b6c | Copilot | feat: separate Tenant Environment Roles and Global Roles in TenantEditor Roles page
- [ImagingTools/ImtCore] e4c69ff | Copilot | Refactor CRemoteFilterableSelectControllerComp to use TClientRequestManagerCompWrap pattern (like CRemoteTenantControllerComp)
- [ImagingTools/ImtCore] f10bb1e | Copilot | Refactor Roles/Groups pages: remove model:{} syntax, use FilterableSelectGqlDataProvider, compact env roles, remove SuperAdmin/User
- [ImagingTools/ImtCore] f6580a5 | Copilot | Enhance Permissions page with CustomScrollbar, text filter, Check/Uncheck All; update Roles/Groups with icons, remove avatars/badges, add delete with confirmation dialog, implement add/remove via ImtCollection.sdl
- [ImagingTools/ImtCore] fe01207 | Copilot | Fix: restore page descriptions, increase delegate height, fix BasicTreeView header scroll, fix editor reuse bug
- [ImagingTools/ImtCore] fe150d2 | Copilot | Replace TreeViewElementView with BasicTreeView on Permissions page

2026-05-21 (56 Commits)
- [ImagingTools/Acf] 0547ec4 | Copilot | Add package meta-info cache: CCachedAttributeStaticInfo, CCachedComponentStaticInfo, CPackageMetaInfoCache, integrate into CPackagesLoaderComp
- [ImagingTools/Acf] 28c09f7 | Copilot | Extend TQtDocumentManagerWrap to use ifile::IFileNameParam for last directory persistence
- [ImagingTools/Acf] 2a1c7f7 | Copilot | Optimize TryLoadFromCache: combine validate+load, binary format, cache canonicalFilePath, filesystem pre-check
- [ImagingTools/Acf] 8374ffa | Copilot | Fix redundant GetRelatedMetaIds calls in SerializeAttribute
- [ImagingTools/Acf] 9b1eefb | Copilot | Optimize TryLoadFromCache: combine validate+load, binary format, cache canonicalFilePath, filesystem pre-check
- [ImagingTools/Acf] abd6bbb | Copilot | Refactor TQtDocumentManagerWrap: replace GetLastDirectoryParam with virtual GetLastDirectory/SetLastDirectory
- [ImagingTools/Acf] ba015e1 | Copilot | Replace NULL with nullptr in fixed code
- [ImagingTools/Acf] c7bdffc | Copilot | Fix settings archives to accept QSettings providers
- [ImagingTools/Acf] cb3fec2 | Copilot | Address review: eliminate fragile NULL placeholders by pre-filtering valid entries
- [ImagingTools/Acf] d07f3ed | Copilot | Address review: eliminate fragile NULL placeholders by pre-filtering valid entries
- [ImagingTools/Acf] d27556a | 0x435641 | Fix TQtDocumentManagerWrap: move component REF to descendants (#211)
- [ImagingTools/Acf] d7277eb | Copilot | Store cache files in .acf.cache subdirectory by default
- [ImagingTools/Acf] da22db2 | Copilot | Store cache files in .acf.cache subdirectory by default
- [ImagingTools/Acf] dff16e1 | Copilot | Fix: move I_REF from template to descendant components, use virtual GetLastDirectoryParam()
- [ImagingTools/ImtCore] 0823b3c | kirill-lepski | Merge pull request #516 from ImagingTools/copilot/add-async-communication-interface
- [ImagingTools/ImtCore] 0a75977 | Copilot | Fix include path for TSharedInterfacePtr
- [ImagingTools/ImtCore] 0c2a130 | Copilot | feat: pass roleData/groupData/userData SDL objects via m_item in insert and update methods
- [ImagingTools/ImtCore] 1eb02da | Copilot | fix: copy list fields (roles/groups/users/parentRoles/parentGroups) from received data in edit views; add SubscriptionClient to TenantCollectionListView; fix empty state height to match delegate height
- [ImagingTools/ImtCore] 23459f5 | kirill-lepski | Fixed assertion due the wrong init sequence (#513)
- [ImagingTools/ImtCore] 23b2b11 | Copilot | feat: generate _fwd.h forward declaration files and refactor PCK headers
- [ImagingTools/ImtCore] 2cc9c58 | Copilot | Rename RequestState enum values to use RS_ prefix
- [ImagingTools/ImtCore] 2ecb275 | Copilot | Adopt repo doxygen convention for new interface headers
- [ImagingTools/ImtCore] 4087bb8 | Copilot | fix: widen tables to 1000px, align titles to table width, fix tristate checkbox click behavior
- [ImagingTools/ImtCore] 42da03e | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 4b16c48 | Copilot | fix: add scrollbar, fix deletion/edit serialization, add member checkboxes, remove Cancel buttons, fix empty menu for owner/creator
- [ImagingTools/ImtCore] 4bc75da | Copilot | fix: correct indentation in RoleView.qml updateGui
- [ImagingTools/ImtCore] 4d58561 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 4d71f63 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 4f74479 | Copilot | fix: empty state text, member delegate layout, breadcrumb hover, description font, role editor width, membership operations, user editor
- [ImagingTools/ImtCore] 520e48a | Copilot | feat: redesign Tenant tabs — 800px centered table with border, checkbox selection, invited users, avatars
- [ImagingTools/ImtCore] 541d980 | legend-of-today | Updated RU translations, added KZ
- [ImagingTools/ImtCore] 583625f | legend-of-today | Merge pull request #517 from ImagingTools/translations_ru_kz
- [ImagingTools/ImtCore] 595342d | kucherenkord-cyber | Merge branch 'main' into copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] 5abdb8e | Copilot | Address review: capitalize lambdas; rename State to RequestState
- [ImagingTools/ImtCore] 61474ac | kucherenkord-cyber | Merge branch 'main' into copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] 65c035e | Copilot | Refactor IDocumentService: task-based async API + fix CChangeNotifier two-phase pattern + fix WaitForTaskFinished hang (#490)
- [ImagingTools/ImtCore] 68a57d2 | kucherenkord-cyber | Merge pull request #514 from ImagingTools/copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] 7039b24 | Copilot | fix: selection reactivity via array reassignment, bottom margin, Edit/Remove buttons
- [ImagingTools/ImtCore] 749443b | Copilot | fix: prevent owner from seeing Leave Workspace option
- [ImagingTools/ImtCore] 7709c42 | Copilot | Revert PR #408: revert font and overflow changes that worsened the situation
- [ImagingTools/ImtCore] 80a7862 | kucherenkord-cyber | Merge branch 'main' into copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] 823892f | Copilot | refactor: migrate GqlBasedTenantMembershipApiClient to use specific SDL types (RoleItem/RoleAdd/RoleUpdate, UserItem/UserAdd/UserUpdate, GroupItem/GroupAdd/GroupUpdate) and move Invited Members above active members in TenantMembersPage
- [ImagingTools/ImtCore] 93618e6 | VekhterAleksandr | Qml. CheckboxMenu corrected
- [ImagingTools/ImtCore] 9840501 | Copilot | Add async GraphQL client interfaces, components and PCK registration
- [ImagingTools/ImtCore] 9c10a66 | kirill-lepski | Merge pull request #519 from ImagingTools/copilot/revert-pull-408-changes
- [ImagingTools/ImtCore] a49000e | kucherenkord-cyber | QML fixed
- [ImagingTools/ImtCore] a5c89a6 | Copilot | fix: full-width separators, checkbox-only selection, taller header, fix select all, member separators, left-align titles, center more icon, content-height tables, fix editor centering
- [ImagingTools/ImtCore] b58fa8d | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] b9941d6 | Copilot | fix: align insertGroup/setGroupData and insertUser/setUserData with insertRole/setRoleData pattern; replace SelectableCollectionEditor with ItemSelectElementView; handle onInvitationRevoked
- [ImagingTools/ImtCore] ce9f108 | Copilot | Expand single-line getters in CCapturingHandler
- [ImagingTools/ImtCore] d9a6eb0 | Copilot | fix: expose isNewTenant on TenantEditor so commandsPanelVisible binding works in TenantCollectionView
- [ImagingTools/ImtCore] e1388eb | Copilot | revert: restore original PCK headers with full #includes
- [ImagingTools/ImtCore] f3429b8 | kucherenkord-cyber | Merge pull request #520 from ImagingTools/copilot/fix-gui-for-tenant-editor
- [ImagingTools/ImtCore] f4e48fd | Copilot | fix: correct user description mapping and simplify filter conditions
- [ImagingTools/ImtCore] f56b704 | Copilot | fix: move filter above table, increase delegate height/font, unified border, center editors
- [ImagingTools/ImtCore] f7f4a5c | kucherenkord-cyber | Merge branch 'copilot/fix-gui-for-tenant-editor' of https://github.com/ImagingTools/ImtCore into copilot/fix-gui-for-tenant-editor

2026-05-22 (56 Commits)
- [ImagingTools/Acf] 0af49e4 | Copilot | Fix package cache to serialize/deserialize subelement info and embedded registries
- [ImagingTools/Acf] 2190922 | kirilllepski | Build fixed
- [ImagingTools/Acf] ac8aca5 | Copilot | Merge origin/main into Branch_copilot/optimize-tryloadfromcache
- [ImagingTools/Acf] b161991 | kirill-lepski | Disable component cache as default setting (#214)
- [ImagingTools/AcfSln] 1384592 | kirill-lepski | Merge pull request #49 from ImagingTools/copilot/fix-embedded-registries-attributes
- [ImagingTools/AcfSln] 17664d7 | kirilllepski | Build fixed
- [ImagingTools/AcfSln] 21796b6 | kirill-lepski | Merge pull request #48 from ImagingTools/Buildfix2205
- [ImagingTools/AcfSln] c062166 | Copilot | Fix: Handle embedded registry components in Compositor attribute editor
- [ImagingTools/AcfSln] f5ded71 | Copilot | Remove redundant else-if fallback in attribute selection handler
- [ImagingTools/ImtCore] 00dd33c | Copilot | fix tenant editor creation and commands
- [ImagingTools/ImtCore] 02731ee | Copilot | Only show TenantCollectionListView empty-state header when list is empty
- [ImagingTools/ImtCore] 0f1c8d3 | Copilot | Fix formatting: add proper tab indentation to CAuthenticationManagerComp .h and .cpp
- [ImagingTools/ImtCore] 149a6cd | kucherenkord-cyber | Merge branch 'copilot/update-gql-based-tenant-membership-api' of https://github.com/ImagingTools/ImtCore into copilot/update-gql-based-tenant-membership-api
- [ImagingTools/ImtCore] 180e9bd | Copilot | Record merge with main
- [ImagingTools/ImtCore] 1d5b91e | Copilot | Move CSystemStatusComp and ISystemStatus from imtbase to imtserverapp
- [ImagingTools/ImtCore] 1f3d1f4 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 20b9433 | kucherenkord-cyber | Bug fix
- [ImagingTools/ImtCore] 24870e0 | Copilot | Move IParamsSetPlugin and TParamsSetPluginComponentImpl from imtbase to imtserverapp
- [ImagingTools/ImtCore] 290dee4 | Copilot | Revert "Revert copilot changes, restore original PR #521 commits"
- [ImagingTools/ImtCore] 2e2bba4 | Copilot | Address code review: fix redundant check order, rename variable for clarity
- [ImagingTools/ImtCore] 33e36d5 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 361bb91 | Copilot | Merge main and resolve GraphQL context conflicts
- [ImagingTools/ImtCore] 39cfc00 | Copilot | Address PR feedback: remove Default org, hide DocumentHistoryPanel by default, filter Creator on Members page, Creator edit rights, loading state in TenantCollectionListView, tenantId from edited tenant
- [ImagingTools/ImtCore] 4327fc7 | Copilot | Implement variant B: extend CTenantFilterParam with Mode field (Include/Exclude) for invitation user filtering
- [ImagingTools/ImtCore] 446cbf6 | kucherenkord-cyber | Merge branch 'main' into copilot/update-gql-based-tenant-membership-api
- [ImagingTools/ImtCore] 464bf1a | Copilot | Rename productId → tenantId in GqlBasedTenantMembershipApiClient and all references; add GitHub font to TenantEditor
- [ImagingTools/ImtCore] 49dd31d | Copilot | Remove extra blank line and commented-out code block in CWebSocketServletComp.cpp
- [ImagingTools/ImtCore] 4a69ba0 | Copilot | Rename CGqlContextCreatorComp to CAuthenticationManagerComp, implement IJwtSessionController with cache-based delegation
- [ImagingTools/ImtCore] 4db1a6d | Copilot | Extract CreateTenantFilterParam to imtauthgql.h; use in CFilterableSelectControllerComp
- [ImagingTools/ImtCore] 6069313 | Copilot | Revert TenantExclusionFilter handler and remove CTenantExclusionParamsSetJoinerComp
- [ImagingTools/ImtCore] 6a9fef2 | Copilot | refactor: address code review - remove redundant enabled, extract subscription helper
- [ImagingTools/ImtCore] 6bfc3ef | Copilot | Fix build: remove stale m_jwtSessionControllerCompPtr/accessToken references in CHttpGraphQLServletComp.cpp
- [ImagingTools/ImtCore] 6c6d340 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 7033bcf | Copilot | Fix empty table display, move data factories to apiClient, fix ACC Switch command, add tenant filter to CFilterableSelectControllerComp, add server-side tenant access control
- [ImagingTools/ImtCore] 719b9f9 | kucherenkord-cyber | Bug fixing
- [ImagingTools/ImtCore] 73744e5 | Copilot | Fix stale imtrest::IRepresentationController comment references in imtserverapp
- [ImagingTools/ImtCore] 73a7bdc | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 75faec7 | Copilot | Move components with imtserverapp deps from basic libs (imtqml, imtauth, imtclientgql, imtservice) to imtserverapp
- [ImagingTools/ImtCore] 79e9c50 | Copilot | Make "No organization" always enabled and checkable in UserPanel.qml
- [ImagingTools/ImtCore] 819579e | Copilot | Add CTenantExclusionParamsSetJoinerComp for invitation users filter (approach A)
- [ImagingTools/ImtCore] 82df83d | Copilot | Add missing imtservergql, imtcom, imtdb link dependencies to ImtServerAppPck
- [ImagingTools/ImtCore] 8a1ad57 | Copilot | Restore all PR #521 changes: 29 files including CProfileControllerComp, imtauthgql.h, RoleView, BasicTreeView, FilterableSelectGqlDataProvider, GqlBasedTenantMembershipApiClient, UserView, UserGroupView, TenantMembersPage, and more
- [ImagingTools/ImtCore] 93f8e7a | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 97a33ff | Copilot | Add CTenantCollectionDocumentServiceControllerComp + TenantFilterEnabled attr
- [ImagingTools/ImtCore] 9c6745d | Copilot | Add Switch/Leave commands to TenantCollectionView; rename productId→tenantId for tenant-scoped filtering
- [ImagingTools/ImtCore] 9fcc80b | Copilot | Fix tenant filter input priority
- [ImagingTools/ImtCore] abf7954 | Copilot | fix: hide DocumentHistoryPanel by default; fix StackViewHeader margin; add productId filter to CFilterableSelectControllerComp; add PopupContainer messages; move subscription to apiClient; use Submenu for env role; hide 3-dot when no actions; align Permissions width; fix subscription refresh
- [ImagingTools/ImtCore] ad694e7 | Copilot | Revert copilot changes, restore original PR #521 commits
- [ImagingTools/ImtCore] b58012d | Copilot | fix: propagate productId to editor views; rename Remove to Exclude on Members page
- [ImagingTools/ImtCore] b95a7be | kucherenkord-cyber | Merge pull request #523 from ImagingTools/websocketservlet-fix
- [ImagingTools/ImtCore] bc9a08b | kucherenkord-cyber | CWebSocketServletComp fixed
- [ImagingTools/ImtCore] d497294 | Copilot | Fix duplicate imtservice:: namespace qualifier in CUrlConnectionParamRepresentationController.cpp
- [ImagingTools/ImtCore] e6b7aae | Copilot | TenantCollectionListView: hide bottom divider for the last delegate
- [ImagingTools/ImtCore] e72b326 | Copilot | Restore UserPanel.qml changes from PR #521: checkable/checked for "No organization" menu item
- [ImagingTools/ImtCore] e8c60fd | Copilot | Revert all changes except CWebSocketServletComp.cpp
- [ImagingTools/ImtCore] f0d6071 | Copilot | Fix ImtServerAppPck link deps: add imtlic/imtrest, fix link order for Linux static linking

2026-05-23 (8 Commits)
- [ImagingTools/Acf] 8c0d129 | kirill-lepski | Fix package cache to include subelement info and embedded registries (#215)
- [ImagingTools/Agentino] 7b9b975 | Copilot | Adapt to ImtCore PR #526: move PageGuiElementModel reference from ImtQmlPck to ImtServerAppPck
- [ImagingTools/Agentino] 8042480 | kirill-lepski | Merge pull request #34 from ImagingTools/copilot/adapt-code-for-pr-526
- [ImagingTools/ImtCore] 1caf8ee | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] 5e9348a | Copilot | Fix ImtServerAppPck link order: move imtbasesdl before imtservergql for Linux static linking
- [ImagingTools/ImtCore] 61ed018 | kirill-lepski | Merge pull request #526 from ImagingTools/copilot/move-components-to-imtserverapp-lib
- [ImagingTools/ImtCore] 686d91c | kucherenkord-cyber | Merge branch 'main' into copilot/update-gql-based-tenant-membership-api
- [ImagingTools/ImtCore] ae8e8e2 | Copilot | QML: TenantMembersPage invitation popup uses collectionId UsersForInvitation

2026-05-24 (1 Commits)
- [ImagingTools/ImtCore] 2f11bbb | Copilot | Route authorization through AuthenticationManager to populate cache at login

2026-05-25 (44 Commits)
- [ImagingTools/Acf] 7f2109b | ExternalVladimirCherepanov | CFileDialogLoaderComp startapDirectory observer added
- [ImagingTools/Acf] e17192b | 0x435641 | CFileDialogLoaderComp: add startup directory observer and mutex protection (#216)
- [ImagingTools/AcfSln] 05b1f4c | Copilot | Fix reference attribute ComboBox not showing entries for embedded registry components
- [ImagingTools/Agentino] 653ac91 | kucherenkord-cyber | Merge pull request #35 from ImagingTools/copilot/adopt-changes-from-pr-526
- [ImagingTools/Agentino] dd517fb | kucherenkord-cyber | Partitura adapted
- [ImagingTools/Agentino] e1c22e5 | Copilot | fix: adapt to ImtCore PR #526 - update stale imtrest:: references to imtserverapp::
- [ImagingTools/ImtCore] 04307f8 | Copilot | Remove negative token cache, simplify cache API and fix misplaced comments
- [ImagingTools/ImtCore] 0d3b1d3 | SERZSH1909 | Add gridLineThickness property to CoordinateGridShape and alias in Graph2d
- [ImagingTools/ImtCore] 0efe916 | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] 16d32af | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] 18eb04f | Artur1309 | global update
- [ImagingTools/ImtCore] 1dcfc21 | kucherenkord-cyber | Merge branch 'main' into copilot/unify-token-validation-and-gql-context
- [ImagingTools/ImtCore] 2283659 | Copilot | Implement GQL context creation in CWebSocketServletComp::RegisterSubscription
- [ImagingTools/ImtCore] 240b8cd | kucherenkord-cyber | Merge branch 'main' into copilot/update-gql-based-tenant-membership-api
- [ImagingTools/ImtCore] 35ee557 | kucherenkord-cyber | Merge pull request #524 from ImagingTools/copilot/update-gql-based-tenant-membership-api
- [ImagingTools/ImtCore] 3864fe8 | Copilot | fix(DocumentDecorator): defer representation fetch for non-visible registered views
- [ImagingTools/ImtCore] 3def47d | Artur1309 | add new components
- [ImagingTools/ImtCore] 3f6ae2f | Copilot | feat: checkable role submenu, role change notification, prominent Save buttons
- [ImagingTools/ImtCore] 4a93029 | Artur1309 | Merge pull request #527 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 4eab7b4 | kucherenkord-cyber | Merge branch 'main' into copilot/update-gql-based-tenant-membership-api
- [ImagingTools/ImtCore] 5ec5c73 | Copilot | feat: move CGraphQlHandlerCompBase generation from *.h to *_fwd.h
- [ImagingTools/ImtCore] 63ebc28 | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] 670c74c | Copilot | Remove dangling UserSettingsRepository export from UserSettings registry
- [ImagingTools/ImtCore] 6f2cec0 | Artur1309 | Merge pull request #531 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 7faadb2 | Copilot | Refactor PermissionsProvider: make abstract, create GqlBasedPermissionsProvider, integrate into apiClient for TenantEditor RoleView
- [ImagingTools/ImtCore] 8920c2b | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 9c2dce4 | Copilot | feat: add #include of *_fwd.h to generated *.cpp files
- [ImagingTools/ImtCore] 9e0265f | kucherenkord-cyber | Merge pull request #436 from ImagingTools/copilot/unify-token-validation-and-gql-context
- [ImagingTools/ImtCore] 9e6fe86 | kucherenkord-cyber | Merge branch 'main' into copilot/update-gql-based-tenant-membership-api
- [ImagingTools/ImtCore] a48dc90 | kucherenkord-cyber | Merge branch 'main' into copilot/unify-token-validation-and-gql-context
- [ImagingTools/ImtCore] a7f66f9 | Copilot | Resolve merge conflict in CWebSocketServletComp.cpp - use CreateGqlContext pattern from main
- [ImagingTools/ImtCore] af9e20a | legend-of-today | Merge pull request #529 from ImagingTools/user_info_fix
- [ImagingTools/ImtCore] b2cba43 | Copilot | Add CSimpleGqlContextCreatorComp; remove deprecated PAT prefix; convert constants to attributes
- [ImagingTools/ImtCore] b79a9f4 | Copilot | Adapt remaining ACC files to PR #526 component moves (ImtQmlPck/ImtClientGqlPck → ImtServerAppPck)
- [ImagingTools/ImtCore] d6ecbea | kucherenkord-cyber | Merge branch 'main' into copilot/unify-token-validation-and-gql-context
- [ImagingTools/ImtCore] dcd8e82 | kucherenkord-cyber | Merge pull request #532 from ImagingTools/copilot/analyze-collection-document-manager
- [ImagingTools/ImtCore] dd4a0dc | kucherenkord-cyber | Merge branch 'main' into copilot/unify-token-validation-and-gql-context
- [ImagingTools/ImtCore] e332534 | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] e449089 | kucherenkord-cyber | Potential fix for pull request finding
- [ImagingTools/ImtCore] e68d019 | kucherenkord-cyber | COde corrected
- [ImagingTools/ImtCore] ec20b59 | kucherenkord-cyber | Merge pull request #528 from ImagingTools/copilot/adapt-files-to-pr-526
- [ImagingTools/ImtCore] f970eb2 | kucherenkord-cyber | Partitura improvements
- [ImagingTools/ImtCore] fd87179 | kucherenkord-cyber | Merge branch 'copilot/unify-token-validation-and-gql-context' of https://github.com/ImagingTools/ImtCore into copilot/unify-token-validation-and-gql-context
- [ImagingTools/ImtCore] ff013d2 | legend-of-today | User info version check fixed

2026-05-26 (31 Commits)
- [ImagingTools/ImtCore] 01d43c5 | Copilot | Rename SingleDocumentWorkspaceGqlView to SingleDocumentWorkspaceShellView (no GQL inside)
- [ImagingTools/ImtCore] 02b4ee2 | kucherenkord-cyber | Merge pull request #533 from ImagingTools/copilot/add-single-document-support
- [ImagingTools/ImtCore] 0336725 | Copilot | Fix DocumentDecorator: clear blockingUpdateModel for new documents
- [ImagingTools/ImtCore] 05a2add | Copilot | WIP: integrate single-doc client; add backend services next
- [ImagingTools/ImtCore] 0804fc1 | Copilot | Add Role/User/Group CollectionDocumentService components
- [ImagingTools/ImtCore] 1e0e8a4 | legend-of-today | Partitura: AuthorizationConcept updated post PR #436
- [ImagingTools/ImtCore] 227958d | kucherenkord-cyber | COde corrected
- [ImagingTools/ImtCore] 256a245 | Copilot | Populate getXInput fields imperatively in Roles/Groups/Members pages
- [ImagingTools/ImtCore] 2a9bbfb | VekhterAleksandr | Cmake configuration fixed. added missing dependencies
- [ImagingTools/ImtCore] 2dd98d0 | SERZSH1909 | Update CMake dependencies for imtserverapp and related packages
- [ImagingTools/ImtCore] 35fc447 | kucherenkord-cyber | Merge branch 'main' into copilot/implement-roleview-userview-usergroupview
- [ImagingTools/ImtCore] 391fb07 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 433aaf2 | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] 4d5ff41 | Copilot | Remove Remote*CollectionDocumentService components
- [ImagingTools/ImtCore] 4f6d2a0 | Copilot | SingleDocumentWorkspaceShellView: handle requestDocumentName; allow disabling name input; disable in TenantEditor pages
- [ImagingTools/ImtCore] 5c23298 | Copilot | Support proposedSourceDocumentId in createDocument flow
- [ImagingTools/ImtCore] 6e93c53 | Copilot | Fix fetchPermissions null apiClient, optimize BasicTreeView expand/collapse, refactor TenantMembersPage to use TenantSimpleCollectionPage with custom delegate and header buttons
- [ImagingTools/ImtCore] 7935ad4 | legend-of-today | Merge pull request #537 from ImagingTools/auth_concept_upd
- [ImagingTools/ImtCore] 897a862 | Copilot | Register new SDL resources in WebCompiler.cmake and Init.h
- [ImagingTools/ImtCore] 97a5420 | Copilot | Use CIdentifiable{Role,User,Group}Info in collection document services; generate UUID if absent
- [ImagingTools/ImtCore] 97dbcee | kucherenkord-cyber | Bug fixing
- [ImagingTools/ImtCore] aa4be3d | Copilot | Extract GQL plumbing from TenantEditor pages; rename API client; fix update flow
